airport_code,airport_name,city,coordinates,timezone
GDX,"{""en"": ""Sokol Airport"", ""ru"": ""03040=""}","{""en"": ""Magadan"", ""ru"": ""03040=""}","(150.720001220703125,59.9109992980957031)",Asia/Magadan
HTA,"{""en"": ""Chita-Kadala Airport"", ""ru"": ""'8B0""}","{""en"": ""Chita"", ""ru"": ""'8B0""}","(113.305999999999997,52.0262990000000016)",Asia/Chita
BTK,"{""en"": ""Bratsk Airport"", ""ru"": ""@0BA:""}","{""en"": ""Bratsk"", ""ru"": ""@0BA:""}","(101.697998046875,56.3706016540527344)",Asia/Irkutsk
IKT,"{""en"": ""Irkutsk Airport"", ""ru"": ""@:CBA:""}","{""en"": ""Irkutsk"", ""ru"": ""@:CBA:""}","(104.388999938959998,52.2680015563960012)",Asia/Irkutsk
UUD,"{""en"": ""Ulan-Ude Airport (Mukhino)"", ""ru"": ""09:0;""}","{""en"": ""Ulan-ude"", ""ru"": ""#;0=-#4M""}","(107.438003540039062,51.80780029296875)",Asia/Irkutsk
MMK,"{""en"": ""Murmansk Airport"", ""ru"": ""C@<0=A:""}","{""en"": ""Murmansk"", ""ru"": ""C@<0=A:""}","(32.7508010864257812,68.7817001342773438)",Europe/Moscow
ABA,"{""en"": ""Abakan Airport"", ""ru"": ""10:0=""}","{""en"": ""Abakan"", ""ru"": ""10:0=""}","(91.3850021362304688,53.7400016784667969)",Asia/Krasnoyarsk
BAX,"{""en"": ""Barnaul Airport"", ""ru"": ""0@=0C;""}","{""en"": ""Barnaul"", ""ru"": ""0@=0C;""}","(83.5384979248046875,53.363800048828125)",Asia/Krasnoyarsk
AAQ,"{""en"": ""Anapa Vityazevo Airport"", ""ru"": ""8BO752>""}","{""en"": ""Anapa"", ""ru"": ""=0?0""}","(37.3473014831539984,45.002101898192997)",Europe/Moscow
CNN,"{""en"": ""Chulman Airport"", ""ru"": ""'C;L<0=""}","{""en"": ""Neryungri"", ""ru"": ""5@N=3@8""}","(124.914001464839998,56.9138984680179973)",Asia/Yakutsk
